635419673636932478	0	Enter
635419673638613677	0	C
635419673639517704	1	Enter
635419673639731512	0	A
635419673640532129	1	C
635419673640532129	1	A
635419673641412739	0	T
635419673642373457	0	.
635419673642373457	1	T
635419673643654450	1	.
635887474127742507	1	Space
635887474127899249	0	A
635887474129617567	1	A
635887474129930607	0	D
635887474130867994	1	D
635887474131649430	0	D
635887474132743216	1	D
635887474133368379	0	R
635887474134149664	0	E
635887474134462208	1	R
635887474135086640	1	E
635887474135712227	0	S
635887474136493539	1	S
635887474137274786	0	S
635887474138369157	1	S
635887474138993435	0	A
635887474139931003	0	B
635887474140243293	1	A
635887474140868683	1	B
635887474142118599	0	L
635887474143212381	0	E
635887474143368818	1	L
635887474143993816	0	Space
635887474144306209	1	E
635887474144093218	1	Space
